PARIS;ROUEN;133;1h45
PARIS;LYON;464;4h55
PARIS;ANGERS;294;3h11
ANGERS;LA ROCHELLE;187;2h20
LA ROCHELLE;BORDEAUX;183;1h38
BORDEAUX;BIARRITZ;202;1h47
BIARRITZ;TOULOUSE;309;2h39
PAU;TOULOUSE;193;1h41
TOULOUSE;NIMES;289;2h26
MONTPELLIER;NIMES;52;35mn
NIMES;MARSEILLE;126;1h13
MARSEILLE;AVIGNON;99;1h
MONACO;MARSEILLE;224;2h3
TOULON;MONACO;169;1h35
